cstart,cend,question,answeredyes
4/1/2020 23:03,4/2/2020 22:40,Have any alcoholic drinks?,FALSE
4/1/2020 23:03,4/2/2020 22:40,Take an anti-inflammatory NSAID?,TRUE
4/1/2020 23:03,4/2/2020 22:40,Wear blue-light blocking glasses before bed?,TRUE
4/1/2020 23:03,4/2/2020 22:40,Have any caffeine? ,TRUE
4/1/2020 23:03,4/2/2020 22:40,View a screened device while in bed?,TRUE
4/1/2020 23:03,4/2/2020 22:40,Consume meat?,TRUE
4/1/2020 23:03,4/2/2020 22:40,Take a melatonin supplement?,FALSE
4/1/2020 23:03,4/2/2020 22:40,Sleep in the same bed as usual?,TRUE
4/1/2020 23:03,4/2/2020 22:40,Experience any stress?,FALSE
4/1/2020 23:03,4/2/2020 22:40,Spend time stretching?,FALSE
4/1/2020 23:03,4/2/2020 22:40,Experiencing COVID-19 symptoms?,FALSE
4/1/2020 23:03,4/2/2020 22:40,Injured / Not Injured,FALSE
4/1/2020 23:03,4/2/2020 22:40,Sick / Not Sick,FALSE
4/1/2020 23:03,4/2/2020 22:40,Single / Not Single,TRUE
4/2/2020 22:40,4/3/2020 22:13,Have any alcoholic drinks?,FALSE
4/2/2020 22:40,4/3/2020 22:13,Take an anti-inflammatory NSAID?,FALSE
4/2/2020 22:40,4/3/2020 22:13,Wear blue-light blocking glasses before bed?,TRUE
4/2/2020 22:40,4/3/2020 22:13,Have any caffeine? ,TRUE
4/2/2020 22:40,4/3/2020 22:13,View a screened device while in bed?,TRUE
4/2/2020 22:40,4/3/2020 22:13,Consume meat?,TRUE
4/2/2020 22:40,4/3/2020 22:13,Take a melatonin supplement?,TRUE
4/2/2020 22:40,4/3/2020 22:13,Sleep in the same bed as usual?,TRUE
4/2/2020 22:40,4/3/2020 22:13,Experience any stress?,FALSE
4/2/2020 22:40,4/3/2020 22:13,Spend time stretching?,FALSE
4/2/2020 22:40,4/3/2020 22:13,Experiencing COVID-19 symptoms?,FALSE
4/2/2020 22:40,4/3/2020 22:13,Injured / Not Injured,FALSE
4/2/2020 22:40,4/3/2020 22:13,Sick / Not Sick,FALSE
4/2/2020 22:40,4/3/2020 22:13,Single / Not Single,TRUE
4/3/2020 22:13,4/4/2020 22:01,Have any alcoholic drinks?,TRUE
4/3/2020 22:13,4/4/2020 22:01,Take an anti-inflammatory NSAID?,TRUE
4/3/2020 22:13,4/4/2020 22:01,Wear blue-light blocking glasses before bed?,TRUE
4/3/2020 22:13,4/4/2020 22:01,Have any caffeine? ,TRUE
4/3/2020 22:13,4/4/2020 22:01,View a screened device while in bed?,FALSE
4/3/2020 22:13,4/4/2020 22:01,Consume meat?,TRUE
4/3/2020 22:13,4/4/2020 22:01,Take a melatonin supplement?,TRUE
4/3/2020 22:13,4/4/2020 22:01,Sleep in the same bed as usual?,TRUE
4/3/2020 22:13,4/4/2020 22:01,Experience any stress?,FALSE
4/3/2020 22:13,4/4/2020 22:01,Spend time stretching?,FALSE
4/3/2020 22:13,4/4/2020 22:01,Experiencing COVID-19 symptoms?,FALSE
4/3/2020 22:13,4/4/2020 22:01,Injured / Not Injured,FALSE
4/3/2020 22:13,4/4/2020 22:01,Sick / Not Sick,FALSE
4/3/2020 22:13,4/4/2020 22:01,Single / Not Single,TRUE
4/4/2020 22:01,4/5/2020 22:27,Have any alcoholic drinks?,FALSE
4/4/2020 22:01,4/5/2020 22:27,Take an anti-inflammatory NSAID?,TRUE
4/4/2020 22:01,4/5/2020 22:27,Wear blue-light blocking glasses before bed?,TRUE
4/4/2020 22:01,4/5/2020 22:27,Have any caffeine? ,TRUE
4/4/2020 22:01,4/5/2020 22:27,View a screened device while in bed?,FALSE
4/4/2020 22:01,4/5/2020 22:27,Consume meat?,TRUE
4/4/2020 22:01,4/5/2020 22:27,Take a melatonin supplement?,TRUE
4/4/2020 22:01,4/5/2020 22:27,Sleep in the same bed as usual?,TRUE
4/4/2020 22:01,4/5/2020 22:27,Experience any stress?,FALSE
4/4/2020 22:01,4/5/2020 22:27,Spend time stretching?,FALSE
4/4/2020 22:01,4/5/2020 22:27,Experiencing COVID-19 symptoms?,FALSE
4/4/2020 22:01,4/5/2020 22:27,Injured / Not Injured,FALSE
4/4/2020 22:01,4/5/2020 22:27,Sick / Not Sick,FALSE
4/4/2020 22:01,4/5/2020 22:27,Single / Not Single,TRUE
4/5/2020 22:27,4/6/2020 22:48,Have any alcoholic drinks?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Take an anti-inflammatory NSAID?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Wear blue-light blocking glasses before bed?,TRUE
4/5/2020 22:27,4/6/2020 22:48,Have any caffeine? ,TRUE
4/5/2020 22:27,4/6/2020 22:48,View a screened device while in bed?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Consume meat?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Take a melatonin supplement?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Sleep in the same bed as usual?,TRUE
4/5/2020 22:27,4/6/2020 22:48,Experience any stress?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Spend time stretching?,TRUE
4/5/2020 22:27,4/6/2020 22:48,Experiencing COVID-19 symptoms?,FALSE
4/5/2020 22:27,4/6/2020 22:48,Injured / Not Injured,FALSE
4/5/2020 22:27,4/6/2020 22:48,Sick / Not Sick,FALSE
4/5/2020 22:27,4/6/2020 22:48,Single / Not Single,TRUE
4/6/2020 22:48,4/7/2020 22:07,Have any alcoholic drinks?,FALSE
4/6/2020 22:48,4/7/2020 22:07,Take an anti-inflammatory NSAID?,FALSE
4/6/2020 22:48,4/7/2020 22:07,Wear blue-light blocking glasses before bed?,TRUE
4/6/2020 22:48,4/7/2020 22:07,Have any caffeine? ,TRUE
4/6/2020 22:48,4/7/2020 22:07,View a screened device while in bed?,FALSE
4/6/2020 22:48,4/7/2020 22:07,Consume meat?,TRUE
4/6/2020 22:48,4/7/2020 22:07,Take a melatonin supplement?,TRUE
4/6/2020 22:48,4/7/2020 22:07,Sleep in the same bed as usual?,TRUE
4/6/2020 22:48,4/7/2020 22:07,Experience any stress?,FALSE
4/6/2020 22:48,4/7/2020 22:07,Spend time stretching?,TRUE
4/6/2020 22:48,4/7/2020 22:07,Experiencing COVID-19 symptoms?,FALSE
4/6/2020 22:48,4/7/2020 22:07,Injured / Not Injured,FALSE
4/6/2020 22:48,4/7/2020 22:07,Sick / Not Sick,FALSE
4/6/2020 22:48,4/7/2020 22:07,Single / Not Single,TRUE
4/7/2020 22:07,4/8/2020 22:11,Have any alcoholic drinks?,FALSE
4/7/2020 22:07,4/8/2020 22:11,Take an anti-inflammatory NSAID?,FALSE
4/7/2020 22:07,4/8/2020 22:11,Wear blue-light blocking glasses before bed?,TRUE
4/7/2020 22:07,4/8/2020 22:11,Have any caffeine? ,TRUE
4/7/2020 22:07,4/8/2020 22:11,View a screened device while in bed?,TRUE
4/7/2020 22:07,4/8/2020 22:11,Consume meat?,TRUE
4/7/2020 22:07,4/8/2020 22:11,Take a melatonin supplement?,TRUE
4/7/2020 22:07,4/8/2020 22:11,Sleep in the same bed as usual?,TRUE
4/7/2020 22:07,4/8/2020 22:11,Experience any stress?,FALSE
4/7/2020 22:07,4/8/2020 22:11,Spend time stretching?,TRUE
4/7/2020 22:07,4/8/2020 22:11,Experiencing COVID-19 symptoms?,FALSE
4/7/2020 22:07,4/8/2020 22:11,Injured / Not Injured,FALSE
4/7/2020 22:07,4/8/2020 22:11,Sick / Not Sick,FALSE
4/7/2020 22:07,4/8/2020 22:11,Single / Not Single,TRUE
4/8/2020 22:11,4/9/2020 21:53,Have any alcoholic drinks?,FALSE
4/8/2020 22:11,4/9/2020 21:53,Take an anti-inflammatory NSAID?,FALSE
4/8/2020 22:11,4/9/2020 21:53,Wear blue-light blocking glasses before bed?,TRUE
4/8/2020 22:11,4/9/2020 21:53,Have any caffeine? ,TRUE
4/8/2020 22:11,4/9/2020 21:53,View a screened device while in bed?,FALSE
4/8/2020 22:11,4/9/2020 21:53,Consume meat?,TRUE
4/8/2020 22:11,4/9/2020 21:53,Take a melatonin supplement?,TRUE
4/8/2020 22:11,4/9/2020 21:53,Sleep in the same bed as usual?,TRUE
4/8/2020 22:11,4/9/2020 21:53,Experience any stress?,FALSE
4/8/2020 22:11,4/9/2020 21:53,Spend time stretching?,FALSE
4/8/2020 22:11,4/9/2020 21:53,Experiencing COVID-19 symptoms?,FALSE
4/8/2020 22:11,4/9/2020 21:53,Injured / Not Injured,FALSE
4/8/2020 22:11,4/9/2020 21:53,Sick / Not Sick,FALSE
4/8/2020 22:11,4/9/2020 21:53,Single / Not Single,TRUE
4/9/2020 21:53,4/10/2020 22:06,Have any alcoholic drinks?,FALSE
4/9/2020 21:53,4/10/2020 22:06,Take an anti-inflammatory NSAID?,FALSE
4/9/2020 21:53,4/10/2020 22:06,Wear blue-light blocking glasses before bed?,TRUE
4/9/2020 21:53,4/10/2020 22:06,Have any caffeine? ,TRUE
4/9/2020 21:53,4/10/2020 22:06,View a screened device while in bed?,FALSE
4/9/2020 21:53,4/10/2020 22:06,Consume meat?,TRUE
4/9/2020 21:53,4/10/2020 22:06,Take a melatonin supplement?,FALSE
4/9/2020 21:53,4/10/2020 22:06,Sleep in the same bed as usual?,TRUE
4/9/2020 21:53,4/10/2020 22:06,Experience any stress?,TRUE
4/9/2020 21:53,4/10/2020 22:06,Spend time stretching?,TRUE
4/9/2020 21:53,4/10/2020 22:06,Experiencing COVID-19 symptoms?,FALSE
4/9/2020 21:53,4/10/2020 22:06,Injured / Not Injured,FALSE
4/9/2020 21:53,4/10/2020 22:06,Sick / Not Sick,FALSE
4/9/2020 21:53,4/10/2020 22:06,Single / Not Single,TRUE
4/10/2020 22:06,4/11/2020 22:57,Have any alcoholic drinks?,FALSE
4/10/2020 22:06,4/11/2020 22:57,Take an anti-inflammatory NSAID?,TRUE
4/10/2020 22:06,4/11/2020 22:57,Wear blue-light blocking glasses before bed?,TRUE
4/10/2020 22:06,4/11/2020 22:57,Have any caffeine? ,TRUE
4/10/2020 22:06,4/11/2020 22:57,View a screened device while in bed?,FALSE
4/10/2020 22:06,4/11/2020 22:57,Consume meat?,TRUE
4/10/2020 22:06,4/11/2020 22:57,Take a melatonin supplement?,TRUE
4/10/2020 22:06,4/11/2020 22:57,Sleep in the same bed as usual?,TRUE
4/10/2020 22:06,4/11/2020 22:57,Experience any stress?,FALSE
4/10/2020 22:06,4/11/2020 22:57,Spend time stretching?,TRUE
4/10/2020 22:06,4/11/2020 22:57,Experiencing COVID-19 symptoms?,FALSE
4/10/2020 22:06,4/11/2020 22:57,Injured / Not Injured,FALSE
4/10/2020 22:06,4/11/2020 22:57,Sick / Not Sick,FALSE
4/10/2020 22:06,4/11/2020 22:57,Single / Not Single,TRUE
4/11/2020 22:57,4/12/2020 20:58,Have any alcoholic drinks?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Take an anti-inflammatory NSAID?,FALSE
4/11/2020 22:57,4/12/2020 20:58,Wear blue-light blocking glasses before bed?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Have any caffeine? ,TRUE
4/11/2020 22:57,4/12/2020 20:58,View a screened device while in bed?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Consume meat?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Take a melatonin supplement?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Sleep in the same bed as usual?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Experience any stress?,FALSE
4/11/2020 22:57,4/12/2020 20:58,Spend time stretching?,TRUE
4/11/2020 22:57,4/12/2020 20:58,Experiencing COVID-19 symptoms?,FALSE
4/11/2020 22:57,4/12/2020 20:58,Injured / Not Injured,FALSE
4/11/2020 22:57,4/12/2020 20:58,Sick / Not Sick,FALSE
4/11/2020 22:57,4/12/2020 20:58,Single / Not Single,TRUE
