Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Consume added sugar?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Have any alcoholic drinks?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Take an anti-inflammatory NSAID?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Wear blue-light blocking glasses before bed?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Use breathwork?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Have any caffeine? ,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Track your carbohydrates?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Visit the Chiropractor?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Avoid consuming processed foods?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Consume dairy?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,View a screened device while in bed?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Have a dog in the room while sleeping?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Wear ear plugs to bed?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel emotionally and mentally stable?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel energized throughout the day?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Track your fats?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel in control of your life,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel you had the resources/skills to complete daily goals?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel a sense of purpose?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Consume fruits and/or vegetables?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Hydrate sufficiently?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Experience any irritability?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Eat any food close to bedtime?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Masturbate?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Consume meat?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Take a melatonin supplement?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel motivated?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Work the night shift?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Have an on-call shift?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Spend time outdoors?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Track your protein?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Read (non-screened device) while in bed?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Use a sauna?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Experience seasonal allergies?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Engage in sexual activity?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Share your bed?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Sleep in the same bed as usual?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Feel socially fulfilled?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Experience any stress?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Spend time stretching?,TRUE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Have a therapy session?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Work late?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Experiencing COVID-19 symptoms?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Follow a gluten-free diet?,FALSE,
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,Injured / Not Injured,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Consume added sugar?,TRUE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Have any alcoholic drinks?,TRUE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Take an anti-inflammatory NSAID?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Wear blue-light blocking glasses before bed?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Use breathwork?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Have any caffeine? ,TRUE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Track your carbohydrates?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Visit the Chiropractor?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Avoid consuming processed foods?,TRUE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Consume dairy?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,View a screened device while in bed?,FALSE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Have a dog in the room while sleeping?,TRUE,
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,Wear ear plugs to bed?,FALSE,
