cstart,cend,recovery,color,rhr,hrv,daystrain,cals,maxhr,avghr,sleepstart,wake,sleepscore,resprate,asleep,inbed,lightsleepmin,deepsleepmin,rem,awake,sleepneed,sleepdebt,sleepefficiency
4/1/2020 23:03,4/2/2020 22:40,53,yellow,51,62,12,1785,172,70,4/1/2020 23:03,4/2/2020 7:01,83,14.6,439,478,195,94,150,39,527,38,92
4/2/2020 22:40,4/3/2020 22:13,52,yellow,51,59,7.7,1564,126,63,4/2/2020 22:40,4/3/2020 7:05,92,14.4,474,505,129,94,251,31,513,38,93
4/3/2020 22:13,4/4/2020 22:01,54,yellow,47,59,13,1828,183,61,4/3/2020 22:13,4/4/2020 6:45,100,14.3,488,512,192,82,214,24,485,23,95
4/4/2020 22:01,4/5/2020 22:27,99,green,45,85,11.3,1881,159,63,4/4/2020 22:01,4/5/2020 6:58,100,14.4,493,537,168,108,217,44,479,0,91
4/5/2020 22:27,4/6/2020 22:48,98,green,46,95,17.1,2385,183,68,4/5/2020 22:27,4/6/2020 6:53,100,14.4,480,506,200,123,157,26,471,0,94
4/6/2020 22:48,4/7/2020 22:07,62,yellow,50,64,14.1,1790,187,65,4/6/2020 22:48,4/7/2020 7:29,92,14.7,465,521,193,115,157,56,506,0,89
4/7/2020 22:07,4/8/2020 22:11,64,yellow,49,65,14.6,2009,178,63,4/7/2020 22:07,4/8/2020 6:56,100,14.6,504,529,202,108,194,25,504,18,95
4/8/2020 22:11,4/9/2020 21:53,58,yellow,49,62,8.1,1608,167,59,4/8/2020 22:11,4/9/2020 7:00,100,14.5,492,529,202,106,184,37,489,0,92
4/9/2020 21:53,4/10/2020 22:06,50,yellow,49,59,15,2046,181,65,4/9/2020 21:53,4/10/2020 7:35,100,14.6,502,582,204,125,173,80,462,0,86
4/10/2020 22:06,4/11/2020 22:57,60,yellow,47,65,13.4,1918,177,64,4/10/2020 22:06,4/11/2020 7:16,100,14.4,517,550,171,119,227,33,491,0,94
4/11/2020 22:57,4/12/2020 20:58,50,yellow,47,59,6.5,1437,141,58,4/11/2020 22:57,4/12/2020 7:41,100,14.4,484,524,170,105,209,40,481,0,92
4/12/2020 20:58,4/13/2020 22:28,87,green,43,82,14.9,2206,176,65,4/12/2020 20:58,4/13/2020 5:24,98,14.2,449,505,154,106,189,56,460,0,88
4/13/2020 22:28,4/15/2020 0:11,53,yellow,49,56,9.7,1781,164,61,4/13/2020 22:28,4/14/2020 6:44,96,14.5,477,496,136,107,234,19,497,5,96
4/15/2020 0:11,4/15/2020 21:59,56,yellow,49,57,13.3,1939,170,75,4/15/2020 0:11,4/15/2020 7:20,85,13.9,402,428,154,93,155,26,475,9,93
4/15/2020 21:59,4/17/2020 1:15,81,green,58,74,15.1,2291,181,71,4/15/2020 21:59,4/16/2020 6:45,98,13.9,503,526,294,109,100,23,515,34,95
4/17/2020 1:15,4/17/2020 21:42,93,green,50,90,15.6,1891,176,69,4/17/2020 1:15,4/17/2020 8:32,80,14.1,396,437,122,82,192,41,498,5,90
4/17/2020 21:42,4/18/2020 21:38,88,green,48,82,4.6,1423,132,55,4/17/2020 21:42,4/18/2020 5:29,79,14.5,430,467,157,98,175,37,541,45,92
4/18/2020 21:38,4/19/2020 23:05,81,green,49,76,12.8,1911,172,62,4/18/2020 21:38,4/19/2020 7:26,100,14.9,558,588,221,123,214,30,505,47,94
4/19/2020 23:05,4/20/2020 21:37,85,green,46,82,14.5,1973,185,75,4/19/2020 23:05,4/20/2020 8:19,100,14.5,505,554,167,132,206,49,478,0,91
