Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
5/2/2022 1:31,,UTC-05:00,5/2/2022 1:31,5/2/2022 8:15,76,14.1,360,404,110,81,169,44,473,5,89,FALSE
4/30/2022 22:52,5/2/2022 1:31,UTC-05:00,4/30/2022 22:52,5/1/2022 7:26,98,14.5,473,514,255,82,136,41,481,8,92,FALSE
4/29/2022 22:14,4/30/2022 22:52,UTC-05:00,4/29/2022 22:14,4/30/2022 6:40,97,13.9,448,506,221,95,132,58,464,5,88,FALSE
4/28/2022 22:38,4/29/2022 22:14,UTC-05:00,4/28/2022 22:38,4/29/2022 7:54,98,13.7,505,556,234,121,150,51,517,45,91,FALSE
4/27/2022 22:51,4/28/2022 22:38,UTC-05:00,4/27/2022 22:51,4/28/2022 6:17,80,13.5,405,439,216,71,118,34,508,32,92,FALSE
4/26/2022 23:29,4/27/2022 22:51,UTC-05:00,4/26/2022 23:29,4/27/2022 7:25,89,13.7,444,476,138,92,214,32,500,23,93,FALSE
4/25/2022 22:26,4/26/2022 23:29,UTC-05:00,4/25/2022 22:26,4/26/2022 6:32,92,14.1,465,485,220,93,152,20,505,38,96,FALSE
4/24/2022 22:23,4/25/2022 22:26,UTC-05:00,4/24/2022 22:23,4/25/2022 6:38,83,14.4,440,495,133,130,177,55,529,45,89,FALSE
4/23/2022 23:37,4/24/2022 22:23,UTC-05:00,4/23/2022 23:37,4/24/2022 7:01,80,13.9,396,444,178,70,148,48,493,17,89,FALSE
4/22/2022 22:59,4/23/2022 23:37,UTC-05:00,4/22/2022 22:59,4/23/2022 6:57,94,14.1,441,476,171,95,175,35,471,0,92,FALSE
4/21/2022 22:11,4/22/2022 22:59,UTC-05:00,4/21/2022 22:11,4/22/2022 7:05,100,13.8,503,533,169,115,219,30,492,34,94,FALSE
4/20/2022 22:26,4/21/2022 22:11,UTC-05:00,4/20/2022 22:26,4/21/2022 6:22,88,13.5,451,473,181,93,177,22,515,58,95,FALSE
4/20/2022 0:34,4/20/2022 22:26,UTC-05:00,4/20/2022 0:34,4/20/2022 8:28,80,13.6,413,473,156,93,164,60,515,49,87,FALSE
4/18/2022 22:52,4/20/2022 0:34,UTC-05:00,4/18/2022 22:52,4/19/2022 6:55,83,14.2,439,477,168,123,148,38,528,54,92,FALSE
4/17/2022 22:28,4/18/2022 22:52,UTC-05:00,4/17/2022 22:28,4/18/2022 5:17,76,14.2,386,406,124,87,175,20,505,43,95,FALSE
4/16/2022 21:50,4/17/2022 22:28,UTC-05:00,4/16/2022 21:50,4/17/2022 6:49,85,13.9,502,540,192,118,192,38,590,133,93,FALSE
4/16/2022 5:39,4/16/2022 21:50,UTC-05:00,4/16/2022 5:39,4/16/2022 9:12,41,14.6,194,213,100,37,57,19,479,20,93,FALSE
4/14/2022 23:09,4/16/2022 5:39,UTC-05:00,4/14/2022 23:09,4/15/2022 7:12,91,14,434,476,171,106,157,42,479,0,91,FALSE
4/13/2022 23:08,4/14/2022 23:09,UTC-05:00,4/13/2022 23:08,4/14/2022 7:47,100,14,489,518,177,120,192,29,472,13,94,FALSE
4/12/2022 22:50,4/13/2022 23:08,UTC-05:00,4/12/2022 22:50,4/13/2022 7:04,94,14.4,461,494,167,117,177,33,490,0,93,FALSE
3/9/2022 21:53,3/10/2022 21:53,UTC-06:00,3/9/2022 21:53,3/10/2022 5:00,81,14.3,385,426,143,84,158,41,473,0,91,FALSE
3/8/2022 22:07,3/9/2022 21:53,UTC-06:00,3/8/2022 22:07,3/9/2022 7:02,100,14.1,491,534,217,90,184,43,486,14,92,FALSE
3/7/2022 21:57,3/8/2022 22:07,UTC-06:00,3/7/2022 21:57,3/8/2022 7:00,95,14.3,493,543,214,127,152,50,519,56,91,FALSE
3/7/2022 2:18,3/7/2022 21:57,UTC-06:00,3/7/2022 2:18,3/7/2022 9:11,75,14.3,384,413,198,80,106,29,511,45,93,FALSE
3/5/2022 23:03,3/7/2022 2:18,UTC-06:00,3/5/2022 23:03,3/6/2022 6:51,80,14.2,428,467,131,106,191,39,533,46,91,FALSE
3/4/2022 23:15,3/5/2022 23:03,UTC-06:00,3/4/2022 23:15,3/5/2022 7:08,84,14.1,426,474,196,87,143,48,506,32,90,FALSE
3/3/2022 22:29,3/4/2022 23:15,UTC-06:00,3/3/2022 22:29,3/4/2022 6:49,89,14,466,497,189,94,183,31,522,54,94,FALSE
3/2/2022 21:53,3/3/2022 22:29,UTC-06:00,3/2/2022 21:53,3/3/2022 4:37,76,14.4,378,403,205,73,100,25,499,43,94,FALSE
3/2/2022 0:20,3/2/2022 21:53,UTC-06:00,3/2/2022 0:20,3/2/2022 9:15,81,13.9,484,534,186,95,203,50,600,133,90,FALSE
3/1/2022 2:02,3/2/2022 0:20,UTC-06:00,3/1/2022 2:02,3/1/2022 6:02,41,14.3,210,232,110,30,70,22,508,38,91,FALSE
2/27/2022 22:27,3/1/2022 2:02,UTC-06:00,2/27/2022 22:27,2/28/2022 6:14,83,13.5,421,466,170,84,167,45,508,43,90,FALSE
2/27/2022 0:00,2/27/2022 22:27,UTC-06:00,2/27/2022 0:00,2/27/2022 7:23,81,13.9,407,443,127,111,169,36,501,22,92,FALSE
2/25/2022 21:57,2/27/2022 0:00,UTC-06:00,2/25/2022 21:57,2/26/2022 6:22,90,14.2,433,503,190,102,141,70,483,14,86,FALSE
2/24/2022 21:57,2/25/2022 21:57,UTC-06:00,2/24/2022 21:57,2/25/2022 7:03,95,13.8,499,545,144,114,241,46,525,68,91,FALSE
2/23/2022 21:42,2/24/2022 21:57,UTC-06:00,2/23/2022 21:42,2/24/2022 4:08,70,13.8,349,386,134,75,140,37,498,17,91,FALSE
2/22/2022 22:35,2/23/2022 21:42,UTC-06:00,2/22/2022 22:35,2/23/2022 6:32,94,13.8,431,476,128,91,212,45,460,0,91,FALSE
2/21/2022 21:26,2/22/2022 22:35,UTC-06:00,2/21/2022 21:26,2/22/2022 6:25,100,14,493,536,235,98,160,43,485,5,92,FALSE
2/20/2022 22:05,2/21/2022 21:26,UTC-06:00,2/20/2022 22:05,2/21/2022 6:31,98,14,453,505,158,108,187,52,461,0,89,FALSE
2/19/2022 21:42,2/20/2022 22:05,UTC-06:00,2/19/2022 21:42,2/20/2022 6:50,100,13.9,510,546,208,119,183,36,489,14,93,FALSE
2/18/2022 22:54,2/19/2022 21:42,UTC-06:00,2/18/2022 22:54,2/19/2022 7:00,95,13.7,453,484,212,92,149,31,479,20,93,FALSE
2/17/2022 21:17,2/18/2022 22:54,UTC-06:00,2/17/2022 21:17,2/18/2022 5:14,93,14.1,439,477,220,81,138,38,474,0,92,FALSE
2/16/2022 21:33,2/17/2022 21:17,UTC-06:00,2/16/2022 21:33,2/17/2022 6:42,100,14.2,506,549,305,84,117,43,504,43,92,FALSE
2/15/2022 22:01,2/16/2022 21:33,UTC-06:00,2/15/2022 22:01,2/16/2022 5:59,85,14.2,444,477,212,71,161,33,524,43,93,FALSE
2/14/2022 21:27,2/15/2022 22:01,UTC-06:00,2/14/2022 21:27,2/15/2022 5:59,85,13.8,459,512,161,105,193,53,544,69,90,FALSE
2/14/2022 2:01,2/14/2022 21:27,UTC-06:00,2/14/2022 2:01,2/14/2022 9:19,76,14.2,410,438,180,96,134,28,543,74,93,FALSE
2/13/2022 1:06,2/14/2022 2:01,UTC-06:00,2/13/2022 1:06,2/13/2022 7:39,67,14,361,392,159,67,135,31,537,63,93,FALSE
2/12/2022 2:01,2/13/2022 1:06,UTC-06:00,2/12/2022 2:01,2/12/2022 9:19,72,13.9,382,437,174,72,136,55,529,49,88,FALSE
2/10/2022 23:38,2/12/2022 2:01,UTC-06:00,2/10/2022 23:38,2/11/2022 7:35,83,13.9,436,476,138,116,182,40,527,67,93,FALSE
2/9/2022 23:34,2/10/2022 23:38,UTC-06:00,2/9/2022 23:34,2/10/2022 6:59,77,13.9,422,445,223,77,122,23,544,79,94,FALSE
2/8/2022 22:05,2/9/2022 23:34,UTC-06:00,2/8/2022 22:05,2/9/2022 4:14,65,13.8,341,369,171,83,87,28,522,43,92,FALSE
2/8/2022 0:00,2/8/2022 22:05,UTC-06:00,2/8/2022 0:00,2/8/2022 8:04,85,13.8,446,481,187,103,156,35,523,52,93,FALSE
2/7/2022 1:05,2/8/2022 0:00,UTC-06:00,2/7/2022 1:05,2/7/2022 9:02,82,13.7,434,477,151,91,192,43,531,58,91,FALSE
2/6/2022 2:20,2/7/2022 1:05,UTC-06:00,2/6/2022 2:20,2/6/2022 9:13,74,13.9,382,413,169,73,140,31,520,56,92,FALSE
2/5/2022 2:49,2/6/2022 2:20,UTC-06:00,2/5/2022 2:49,2/5/2022 9:05,75,13.7,346,372,176,62,108,26,463,0,93,FALSE
