cstart,cend,workoutstart,workoutend,duration,activity,activitystrain,calories,maxhr,avghr,hrz1,hrz2,hrz3,hrz4,hrz5
4/1/2020 23:03,4/2/2020 22:40,4/2/2020 18:00,4/2/2020 18:28,28,Functional Fitness,9.7,267,172,135,5,14,6,32,41
4/1/2020 23:03,4/2/2020 22:40,4/2/2020 9:36,4/2/2020 10:00,24,Walking,4.4,37,116,92,42,56,0,0,0
4/3/2020 22:13,4/4/2020 22:01,4/4/2020 15:07,4/4/2020 15:47,39,Functional Fitness,12,349,183,132,13,15,13,13,33
4/4/2020 22:01,4/5/2020 22:27,4/5/2020 17:05,4/5/2020 19:02,116,Functional Fitness,10.2,495,159,105,25,33,24,15,1
4/5/2020 22:27,4/6/2020 22:48,4/6/2020 16:10,4/6/2020 17:25,75,Functional Fitness,16.3,792,183,141,3,18,15,7,34
4/6/2020 22:48,4/7/2020 22:07,4/7/2020 14:45,4/7/2020 15:38,53,Functional Fitness,13.6,369,187,121,30,31,2,0,8
4/7/2020 22:07,4/8/2020 22:11,4/8/2020 15:27,4/8/2020 16:31,64,Functional Fitness,14.3,607,178,134,12,14,7,16,42
4/8/2020 22:11,4/9/2020 21:53,4/9/2020 16:55,4/9/2020 17:41,45,Walking,7.5,239,167,112,10,35,28,18,7
4/9/2020 21:53,4/10/2020 22:06,4/10/2020 12:38,4/10/2020 12:55,16,Ice Bath,,16,99,72,99,0,0,0,0
4/9/2020 21:53,4/10/2020 22:06,4/10/2020 11:02,4/10/2020 11:44,41,Functional Fitness,13.9,486,181,147,0,6,19,13,40
4/9/2020 21:53,4/10/2020 22:06,4/10/2020 10:15,4/10/2020 11:00,45,Jumping Rope,6.8,155,175,92,56,21,3,7,9
4/10/2020 22:06,4/11/2020 22:57,4/11/2020 12:38,4/11/2020 13:11,32,Functional Fitness,12.6,390,177,147,4,6,4,8,73
4/10/2020 22:06,4/11/2020 22:57,4/11/2020 11:22,4/11/2020 12:00,37,Gymnastics,4.3,52,119,86,66,32,1,0,0
4/11/2020 22:57,4/12/2020 20:58,4/12/2020 12:52,4/12/2020 13:50,57,Weightlifting,5.1,111,130,93,44,45,9,0,0
4/12/2020 20:58,4/13/2020 22:28,4/13/2020 16:34,4/13/2020 17:04,29,Functional Fitness,12.1,348,176,146,1,3,16,23,46
4/12/2020 20:58,4/13/2020 22:28,4/13/2020 6:06,4/13/2020 6:32,26,Functional Fitness,9,231,174,131,3,16,26,21,30
4/13/2020 22:28,4/15/2020 0:11,4/14/2020 9:11,4/14/2020 9:54,42,Functional Fitness,9.3,310,164,123,6,14,28,39,10
4/13/2020 22:28,4/15/2020 0:11,4/14/2020 8:19,4/14/2020 8:47,28,Yoga,1,28,100,73,97,2,0,0,0
4/15/2020 0:11,4/15/2020 21:59,4/15/2020 17:00,4/15/2020 17:45,45,Functional Fitness,9.8,340,170,124,4,13,43,26,11
4/15/2020 21:59,4/17/2020 1:15,4/16/2020 15:13,4/16/2020 15:47,34,Functional Fitness,13.4,413,181,149,2,12,4,11,45
4/17/2020 1:15,4/17/2020 21:42,4/17/2020 15:19,4/17/2020 16:46,87,Functional Fitness,15.4,743,176,129,12,27,8,5,43
4/18/2020 21:38,4/19/2020 23:05,4/19/2020 9:55,4/19/2020 10:44,48,Functional Fitness,12.5,464,172,135,1,16,14,27,38
4/19/2020 23:05,4/20/2020 21:37,4/20/2020 18:16,4/20/2020 18:58,42,Functional Fitness,12.8,356,185,128,19,27,6,3,21
4/19/2020 23:05,4/20/2020 21:37,4/20/2020 11:15,4/20/2020 12:53,98,Weightlifting,8.5,377,159,104,18,45,28,7,0
4/20/2020 21:37,4/21/2020 22:17,4/21/2020 15:28,4/21/2020 16:28,60,Functional Fitness,13.3,464,177,123,29,12,9,6,34
4/21/2020 22:17,4/22/2020 22:31,4/22/2020 12:54,4/22/2020 14:18,84,Other,10.3,496,148,116,2,28,49,19,0
4/21/2020 22:17,4/22/2020 22:31,4/22/2020 11:23,4/22/2020 12:00,36,Other,5.3,106,131,100,11,77,10,0,0
4/22/2020 22:31,4/23/2020 22:27,4/23/2020 16:18,4/23/2020 17:21,62,Weightlifting,5.8,164,152,95,41,39,14,4,0
4/23/2020 22:27,4/24/2020 23:01,4/24/2020 16:55,4/24/2020 17:37,42,Functional Fitness,11.6,340,184,127,5,22,30,9,24
4/25/2020 22:35,4/26/2020 21:28,4/26/2020 10:38,4/26/2020 12:07,88,Weightlifting,5.1,147,140,85,67,22,9,1,0
4/26/2020 21:28,4/27/2020 21:41,4/27/2020 16:48,4/27/2020 17:11,23,Running,8.7,213,166,134,4,20,11,35,29
4/26/2020 21:28,4/27/2020 21:41,4/27/2020 6:07,4/27/2020 6:28,20,Functional Fitness,7,161,175,127,2,12,33,35,12
4/27/2020 21:41,4/29/2020 3:40,4/28/2020 9:41,4/28/2020 10:19,38,Functional Fitness,14.8,500,186,153,6,1,11,9,23
4/27/2020 21:41,4/29/2020 3:40,4/28/2020 8:59,4/28/2020 9:24,25,Yoga,,25,95,69,99,0,0,0,0
4/29/2020 3:40,4/29/2020 22:39,4/29/2020 16:06,4/29/2020 16:46,40,Functional Fitness,12.6,354,188,132,8,28,12,4,25
4/29/2020 22:39,4/30/2020 22:36,4/30/2020 17:23,4/30/2020 18:36,73,Functional Fitness,13.4,458,186,115,34,21,10,9,8
