Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
5/2/2022 1:31,,UTC-05:00,5/2/2022 16:03,5/2/2022 16:18,14,Running,7,151,158,140,4,3,17,72,3,TRUE,2324.61,24.6,1.11
4/30/2022 22:52,5/2/2022 1:31,UTC-05:00,5/1/2022 9:31,5/1/2022 10:16,44,HIIT,7.6,247,164,114,21,22,31,20,4,FALSE,,,
4/29/2022 22:14,4/30/2022 22:52,UTC-05:00,4/30/2022 18:06,4/30/2022 18:55,48,HIIT,11,451,172,136,0,11,28,47,12,FALSE,,,
4/28/2022 22:38,4/29/2022 22:14,UTC-05:00,4/29/2022 10:24,4/29/2022 11:32,68,Weightlifting,5.9,187,142,99,34,46,19,0,0,FALSE,,,
4/27/2022 22:51,4/28/2022 22:38,UTC-05:00,4/28/2022 10:29,4/28/2022 12:53,144,Manual Labor,11.2,673,154,109,16,43,33,5,0,FALSE,,,
4/26/2022 23:29,4/27/2022 22:51,UTC-05:00,4/27/2022 16:47,4/27/2022 17:13,25,Running,11.9,346,169,157,1,1,3,14,79,TRUE,4618.7,71.74,3.9
4/25/2022 22:26,4/26/2022 23:29,UTC-05:00,4/26/2022 17:28,4/26/2022 18:26,57,Box Fitness,10.3,394,172,121,13,24,30,17,14,FALSE,,,
4/24/2022 22:23,4/25/2022 22:26,UTC-05:00,4/25/2022 14:29,4/25/2022 14:54,25,Swimming,7.1,193,159,128,4,11,39,39,1,TRUE,3.56,0,-1.37
4/24/2022 22:23,4/25/2022 22:26,UTC-05:00,4/25/2022 13:19,4/25/2022 14:15,55,Weightlifting,6.8,233,142,108,13,51,32,2,0,FALSE,,,
4/23/2022 23:37,4/24/2022 22:23,UTC-05:00,4/24/2022 10:00,4/24/2022 12:00,120,Softball,8.7,405,165,105,20,59,15,4,0,FALSE,,,
4/23/2022 23:37,4/24/2022 22:23,UTC-05:00,4/24/2022 8:31,4/24/2022 9:38,66,Box Fitness,11.8,501,173,124,14,20,18,31,15,FALSE,,,
